language,dim,prune_height,cluster_N,silhouette_score
BSL,50d,17,25,0.024617106290848758
BSL,50d,18,23,0.019946575225414175
BSL,50d,19,21,0.03045902513470395
BSL,50d,20,19,0.024355956634556624
BSL,50d,21,14,0.02257257577433794
BSL,50d,22,13,0.02358123515154005
BSL,50d,23,11,0.019001024301185648
BSL,50d,24,9,0.013487952192753656
BSL,50d,25,9,0.013487952192753656
BSL,50d,26,9,0.013487952192753656
BSL,50d,27,9,0.013487952192753656
BSL,50d,28,8,0.030310818463722397
BSL,50d,29,7,0.040255264608306016
BSL,50d,30,6,0.03670160733766981
BSL,50d,31,5,0.05031798269347901
BSL,50d,32,4,0.04790353154051464
BSL,50d,33,4,0.04790353154051464
BSL,50d,34,4,0.04790353154051464
BSL,50d,35,4,0.04790353154051464
BSL,50d,36,3,0.04408657891278562
BSL,50d,37,3,0.04408657891278562
BSL,50d,38,3,0.04408657891278562
BSL,50d,39,3,0.04408657891278562
BSL,50d,40,3,0.04408657891278562
BSL,50d,41,3,0.04408657891278562
BSL,50d,42,2,0.057728749668455086
BSL,50d,43,2,0.057728749668455086
BSL,50d,44,2,0.057728749668455086
BSL,50d,45,2,0.057728749668455086
BSL,50d,46,2,0.057728749668455086
BSL,50d,47,2,0.057728749668455086
BSL,50d,48,2,0.057728749668455086
BSL,50d,49,2,0.057728749668455086
BSL,50d,50,2,0.057728749668455086
BSL,50d,51,2,0.057728749668455086
BSL,50d,52,2,0.057728749668455086
BSL,50d,53,2,0.057728749668455086
BSL,50d,54,2,0.057728749668455086
BSL,50d,55,2,0.057728749668455086
BSL,50d,56,2,0.057728749668455086
BSL,50d,57,2,0.057728749668455086
BSL,100d,1,1476,0.0019321957160128174
BSL,100d,2,1461,0.0076880114368747315
BSL,100d,3,1415,0.02208277742660619
BSL,100d,4,1225,0.048186335609013975
BSL,100d,5,846,0.07958189639319299
BSL,100d,6,491,0.08218705789317053
BSL,100d,7,297,0.06882528628521423
BSL,100d,8,199,0.05478750470444752
BSL,100d,9,144,0.04451299559247051
BSL,100d,10,109,0.03801873356304825
BSL,100d,11,83,0.03427273467534378
BSL,100d,12,64,0.02830391453505944
BSL,100d,13,50,0.019415690804511356
BSL,100d,14,41,0.017665707571897345
BSL,100d,15,37,0.013365583172530466
BSL,100d,16,31,0.005675322003985986
BSL,100d,17,26,0.015344505236472511
BSL,100d,18,23,0.018230205837031516
BSL,100d,19,20,0.01994078258774764
BSL,100d,20,17,0.014356063218094892
BSL,100d,21,15,0.010628737223281387
BSL,100d,22,14,0.010948835518271596
BSL,100d,23,13,0.007546029105116065
BSL,100d,24,10,0.01668159581081748
BSL,100d,25,9,0.01427924457418356
BSL,100d,26,8,0.010446987189082723
BSL,100d,27,7,0.01935786979356391
BSL,100d,28,7,0.01935786979356391
BSL,100d,29,7,0.01935786979356391
BSL,100d,30,7,0.01935786979356391
BSL,100d,31,7,0.01935786979356391
BSL,100d,32,6,0.014521226031644296
BSL,100d,33,4,0.0318706819277256
BSL,100d,34,4,0.0318706819277256
BSL,100d,35,4,0.0318706819277256
BSL,100d,36,4,0.0318706819277256
BSL,100d,37,3,0.027068880354186413
BSL,100d,38,3,0.027068880354186413
BSL,100d,39,3,0.027068880354186413
BSL,100d,40,3,0.027068880354186413
BSL,100d,41,2,0.04172586087959291
BSL,100d,42,2,0.04172586087959291
BSL,100d,43,2,0.04172586087959291
BSL,100d,44,2,0.04172586087959291
BSL,100d,45,2,0.04172586087959291
BSL,100d,46,2,0.04172586087959291
BSL,100d,47,2,0.04172586087959291
BSL,100d,48,2,0.04172586087959291
BSL,100d,49,2,0.04172586087959291
BSL,100d,50,2,0.04172586087959291
BSL,100d,51,2,0.04172586087959291
BSL,100d,52,2,0.04172586087959291
BSL,100d,53,2,0.04172586087959291
BSL,100d,54,2,0.04172586087959291
BSL,100d,55,2,0.04172586087959291
BSL,100d,56,2,0.04172586087959291
BSL,100d,57,2,0.04172586087959291
BSL,200d,2,1469,0.0038377816983811625
BSL,200d,3,1448,0.01158945487799088
BSL,200d,4,1402,0.02024574623088515
BSL,200d,5,1266,0.039018361441058046
BSL,200d,6,981,0.05800842228605622
BSL,200d,7,620,0.06534963400864365
BSL,200d,8,389,0.058744235133972776
BSL,200d,9,253,0.04288781392947747
BSL,200d,10,174,0.026798278858087332
BSL,200d,11,126,0.020311888966809032
BSL,200d,12,99,0.01349248205892473
BSL,200d,13,75,0.012282688586553283
BSL,200d,14,58,0.004524487131582252
BSL,200d,15,46,0.0012163152389681956
BSL,200d,16,39,-0.005325682379091769
BSL,200d,17,34,-0.010413235637901795
BSL,200d,18,27,-0.010931458273931792
BSL,200d,19,23,-0.016427242684830565
BSL,200d,20,21,-0.019363739159092248
BSL,200d,21,19,-0.010629692882347429
BSL,200d,22,15,-0.01779071789047189
BSL,200d,23,13,-0.02237448721923411
BSL,200d,24,11,-0.015719997368165217
BSL,200d,25,11,-0.015719997368165217
BSL,200d,26,10,-0.01827133147911404
BSL,200d,27,8,0.011257456930785462
BSL,200d,28,8,0.011257456930785462
BSL,200d,29,8,0.011257456930785462
BSL,200d,30,8,0.011257456930785462
BSL,200d,31,6,0.019150532918249925
BSL,200d,32,6,0.019150532918249925
BSL,200d,33,5,0.014915547193253704
BSL,200d,34,5,0.014915547193253704
BSL,200d,35,4,0.016890646053087894
BSL,200d,36,4,0.016890646053087894
BSL,200d,37,3,0.016388946908354414
BSL,200d,38,3,0.016388946908354414
BSL,200d,39,3,0.016388946908354414
BSL,200d,40,3,0.016388946908354414
BSL,200d,41,2,0.02705463059050272
BSL,200d,42,2,0.02705463059050272
BSL,200d,43,2,0.02705463059050272
BSL,200d,44,2,0.02705463059050272
BSL,200d,45,2,0.02705463059050272
BSL,200d,46,2,0.02705463059050272
BSL,200d,47,2,0.02705463059050272
BSL,200d,48,2,0.02705463059050272
BSL,200d,49,2,0.02705463059050272
BSL,200d,50,2,0.02705463059050272
BSL,200d,51,2,0.02705463059050272
BSL,200d,52,2,0.02705463059050272
BSL,200d,53,2,0.02705463059050272
BSL,200d,54,2,0.02705463059050272
BSL,200d,55,2,0.02705463059050272
BSL,300d,2,1472,0.0027114767819310095
BSL,300d,3,1462,0.005364325359953702
BSL,300d,4,1429,0.015997446853657154
BSL,300d,5,1352,0.027754586888358017
BSL,300d,6,1185,0.044116999201818136
BSL,300d,7,878,0.054349361846380194
BSL,300d,8,547,0.051966595937902316
BSL,300d,9,347,0.038137887035876325
BSL,300d,10,221,0.031123055557459915
BSL,300d,11,153,0.01619868104574569
BSL,300d,12,114,0.007498090012772271
BSL,300d,13,84,0.0006706120438714441
BSL,300d,14,68,-0.0031233522987410395
BSL,300d,15,55,-0.008537594150434516
BSL,300d,16,42,-0.0181260778894902
BSL,300d,17,34,-0.007887218362659201
BSL,300d,18,30,-0.008378899264417917
BSL,300d,19,25,-0.0134121755723744
BSL,300d,20,22,-0.017895446185236655
BSL,300d,21,18,-0.018043512694919293
BSL,300d,22,16,-0.019555062402934736
BSL,300d,23,12,-0.0200134867868356
BSL,300d,24,11,-0.022014825495818662
BSL,300d,25,11,-0.022014825495818662
BSL,300d,26,10,-0.02444073323842647
BSL,300d,27,9,0.0032231013492461484
BSL,300d,28,8,0.0006383666577004942
BSL,300d,29,8,0.0006383666577004942
BSL,300d,30,7,-0.0023347361933630465
BSL,300d,31,7,-0.0023347361933630465
BSL,300d,32,6,0.02092706553862163
BSL,300d,33,5,0.019244647273961395
BSL,300d,34,4,0.015457546270376732
BSL,300d,35,4,0.015457546270376732
BSL,300d,36,4,0.015457546270376732
BSL,300d,37,4,0.015457546270376732
BSL,300d,38,4,0.015457546270376732
BSL,300d,39,3,0.03732652783770758
BSL,300d,40,3,0.03732652783770758
BSL,300d,41,3,0.03732652783770758
BSL,300d,42,2,0.04012009216174759
BSL,300d,43,2,0.04012009216174759
BSL,300d,44,2,0.04012009216174759
BSL,300d,45,2,0.04012009216174759
BSL,300d,46,2,0.04012009216174759
BSL,300d,47,2,0.04012009216174759
BSL,300d,48,2,0.04012009216174759
BSL,300d,49,2,0.04012009216174759
BSL,300d,50,2,0.04012009216174759
BSL,300d,51,2,0.04012009216174759
BSL,300d,52,2,0.04012009216174759
BSL,300d,53,2,0.04012009216174759
BSL,300d,54,2,0.04012009216174759
BSL,300d,55,2,0.04012009216174759
BSL,300d,56,2,0.04012009216174759
BSL,300d,57,2,0.04012009216174759
BSL,300d,58,2,0.04012009216174759
BSL,300d,59,2,0.04012009216174759
